,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
68,Spain,ESP,4.16604995727539,4.1112699508667,4.13457012176514,4.1734299659728995,4.157859802246089,4.1443200111389205,4.184820175170899,4.25404977798462,4.52805995941162,4.91200017929077,4.856080055236821,4.896920204162599,4.4693398475647,4.35101985931396,4.30338001251221,4.28657007217407,4.22764015197754,4.20773983001709,,
69,Estonia,EST,5.33242988586426,5.22460985183716,5.43131017684937,5.27117013931274,4.877349853515629,4.8131599426269505,,4.62063980102539,5.47737979888916,5.926519870758059,5.47338008880615,4.9699201583862305,4.6826901435852095,4.81267023086548,5.3670802116394,5.10685014724731,5.17053985595703,4.973380088806151,,
70,Ethiopia,ETH,3.98310995101929,3.7002899646758998,3.6324501037597696,,,,5.49096012115479,5.451129913330081,5.40819978713989,4.4220700263977095,4.49659013748169,5.48576021194458,5.56678009033203,4.4985499382019,4.6020197868347195,4.73791980743408,,,,
71,European Union,EUU,4.86840009689331,5.0778098106384295,5.1792302131652805,5.07451009750366,4.9618649482727095,5.073949813842769,4.86410999298096,4.68449020385742,5.02904987335205,5.55496978759766,5.312739849090581,4.9699201583862305,4.88060998916626,4.9611101150512695,5.12400007247925,4.8975350856781,4.80178022384644,4.7251698970794695,,
72,Fragile and conflict affected situations,FCS,,,,,,,,,,,2.7447099685668905,,,3.2592300176620497,,,,3.7873098850250204,,
73,Finland,FIN,5.7093000411987305,5.84025001525879,6.016779899597171,6.16743993759155,6.157579898834231,6.02507019042969,5.92838001251221,5.671259880065921,5.83010005950928,6.45955991744995,6.504449844360349,6.44504976272583,7.1480398178100595,7.12404012680054,7.1023697853088406,7.032080173492429,6.8515300750732395,6.3762102127075195,,
74,Fiji,FJI,5.8572502136230495,5.61713981628418,6.24382019042969,,6.164929866790769,5.12197017669678,5.607140064239499,5.84843015670776,4.25357007980347,4.49847984313965,,4.17305994033813,,3.88288998603821,,,,,,
75,France,FRA,,,,,,,,,,,,,,,,,,5.45160007476807,,
76,Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,
77,"Micronesia, Fed. Sts.",FSM,6.70687007904053,,,,,,,,,,,,,,,12.407919883728,,,,
78,Gabon,GAB,3.82709002494812,,,,,,,,,,3.0780899524688703,2.987459897995,3.01340007781982,3.02971005439758,2.66667008399963,,,,,
79,United Kingdom,GBR,4.03118991851807,4.1192297935485795,4.63886976242065,4.804669857025151,4.7387900352478,4.93913984298706,4.985310077667241,4.91482019424438,4.89331007003784,5.07431983947754,5.70323991775513,5.59523010253906,,5.529799938201901,5.59899997711182,5.55615997314453,5.42670011520386,5.442090034484861,,
80,Georgia,GEO,2.1810500621795703,2.13750004768372,2.23501992225647,2.06559991836548,2.9142000675201403,2.4843199253082298,3.00364995002747,2.69687008857727,2.9195499420166002,3.22237992286682,,2.5761399269104,1.9061000347137498,,,,3.59386992454529,3.57442998886108,3.5210599899292006,
81,Ghana,GHA,,5.35444021224976,,,7.53558015823364,7.42208003997803,5.25982999801636,5.519869804382321,5.75795984268188,5.31744003295898,5.5405998229980495,8.14097023010254,7.9191398620605495,4.60710000991821,4.49181985855103,4.51089000701904,4.48683023452759,3.61798000335693,3.98943996429443,
82,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,
83,Guinea,GIN,2.59340000152588,2.08190989494324,2.5938699245452903,2.37102007865906,2.2100000381469704,1.84906005859375,,,1.58112001419067,2.20725011825562,2.55118989944458,2.28742003440857,1.8337099552154499,2.6342101097106903,2.4228100776672403,2.51713991165161,2.54455995559692,2.3176500797271697,2.3159399032592796,
84,"Gambia, The",GMB,1.46587002277374,1.1581000089645401,1.44291996955872,1.36337995529175,0.622470021247864,0.6918799877166751,0.7516300082206729,0.816860020160675,2.18129992485046,1.90813994407654,2.56322002410889,2.50116991996765,2.6375699043273904,1.8183900117874099,2.23094010353088,2.16002988815308,2.0244300365448002,,2.42030000686646,
85,Guinea-Bissau,GNB,,,,,,,,,,,1.86082005500793,1.8578599691391,2.00106000900269,2.13248991966248,,,,,,
86,Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,
87,Greece,GRC,3.23019003868103,3.36457991600037,3.4243099689483603,3.42933988571167,3.6671900749206503,3.96395993232727,,,,,,,,,,,,,,
88,Grenada,GRD,,,,3.9267399311065696,,,,,,,,,,,,,,3.17379999160767,,
89,Greenland,GRL,,,,,,,,,,,,,,,,,,,,
90,Guatemala,GTM,,,,,,,2.9840099811553995,3.0387399196624796,3.18454003334045,,2.8030600547790496,2.9201400279998797,2.95785999298096,2.88808989524841,2.9856200218200697,3.03032994270325,2.9447400569915803,2.951819896698,3.1409299373626696,3.2121999263763397
91,Guam,GUM,,,,,,,,,,,,,,,,,,,,
