,LOCATION,Country,INDICATOR,SUBJECT,MEASURE,Year,Value_edu,Value_tu
306,DEU,Germany,EDUADULT,BUPPSRY,PC_25_64,2012,13.699094,18.3
307,DEU,Germany,EDUADULT,TRY,PC_25_64,2012,28.121571999999997,18.3
308,DEU,Germany,EDUADULT,UPPSRY,PC_25_64,2012,58.179337,18.3
309,DEU,Germany,EDUADULT,BUPPSRY,PC_25_64,2013,13.679198999999999,18.0
310,DEU,Germany,EDUADULT,TRY,PC_25_64,2013,28.47327,18.0
311,DEU,Germany,EDUADULT,UPPSRY,PC_25_64,2013,57.847530000000006,18.0
312,DEU,Germany,EDUADULT,BUPPSRY,PC_25_64,2014,13.096583,17.7
313,DEU,Germany,EDUADULT,TRY,PC_25_64,2014,27.057884,17.7
314,DEU,Germany,EDUADULT,UPPSRY,PC_25_64,2014,59.84553100000001,17.7
315,DEU,Germany,EDUADULT,BUPPSRY,PC_25_64,2015,13.208749,17.6
316,DEU,Germany,EDUADULT,TRY,PC_25_64,2015,27.638234999999998,17.6
317,DEU,Germany,EDUADULT,UPPSRY,PC_25_64,2015,59.153015,17.6
318,DEU,Germany,EDUADULT,BUPPSRY,PC_25_64,2016,13.523512,17.0
319,DEU,Germany,EDUADULT,TRY,PC_25_64,2016,28.291722999999998,17.0
320,DEU,Germany,EDUADULT,UPPSRY,PC_25_64,2016,58.184765000000006,17.0
321,DEU,Germany,EDUADULT,BUPPSRY,PC_25_64,2017,13.478389000000002,16.7
322,DEU,Germany,EDUADULT,TRY,PC_25_64,2017,28.583370000000002,16.7
323,DEU,Germany,EDUADULT,UPPSRY,PC_25_64,2017,57.93824,16.7
324,DEU,Germany,EDUADULT,BUPPSRY,PC_25_64,2018,13.324821,16.5
325,DEU,Germany,EDUADULT,TRY,PC_25_64,2018,29.065134000000004,16.5
326,DEU,Germany,EDUADULT,UPPSRY,PC_25_64,2018,57.610046,16.5
327,GRC,Greece,EDUADULT,BUPPSRY,PC_25_64,2010,37.263659999999994,22.2
328,GRC,Greece,EDUADULT,TRY,PC_25_64,2010,24.744848,22.2
329,GRC,Greece,EDUADULT,UPPSRY,PC_25_64,2010,37.991489,22.2
330,GRC,Greece,EDUADULT,BUPPSRY,PC_25_64,2013,32.80518,23.1
331,GRC,Greece,EDUADULT,TRY,PC_25_64,2013,27.423178000000004,23.1
332,GRC,Greece,EDUADULT,UPPSRY,PC_25_64,2013,39.771640999999995,23.1
333,GRC,Greece,EDUADULT,BUPPSRY,PC_25_64,2016,28.349746999999997,20.2
334,GRC,Greece,EDUADULT,TRY,PC_25_64,2016,30.231607,20.2
335,GRC,Greece,EDUADULT,UPPSRY,PC_25_64,2016,41.418648,20.2
336,HUN,Hungary,EDUADULT,BUPPSRY,PC_25_64,2009,19.425785,11.9
337,HUN,Hungary,EDUADULT,TRY,PC_25_64,2009,19.86219,11.9
338,HUN,Hungary,EDUADULT,UPPSRY,PC_25_64,2009,60.712025,11.9
339,HUN,Hungary,EDUADULT,BUPPSRY,PC_25_64,2012,17.879883,11.8
340,HUN,Hungary,EDUADULT,TRY,PC_25_64,2012,22.046715,11.8
341,HUN,Hungary,EDUADULT,UPPSRY,PC_25_64,2012,60.073402,11.8
342,HUN,Hungary,EDUADULT,BUPPSRY,PC_25_64,2013,17.505869,11.1
343,HUN,Hungary,EDUADULT,TRY,PC_25_64,2013,22.505820999999997,11.1
344,HUN,Hungary,EDUADULT,UPPSRY,PC_25_64,2013,59.988312,11.1
345,HUN,Hungary,EDUADULT,BUPPSRY,PC_25_64,2014,16.905603,10.2
346,HUN,Hungary,EDUADULT,TRY,PC_25_64,2014,23.356073000000002,10.2
347,HUN,Hungary,EDUADULT,UPPSRY,PC_25_64,2014,59.738323,10.2
348,HUN,Hungary,EDUADULT,BUPPSRY,PC_25_64,2015,16.783051,9.0
350,HUN,Hungary,EDUADULT,TRY,PC_25_64,2015,24.242552,9.0
352,HUN,Hungary,EDUADULT,UPPSRY,PC_25_64,2015,58.9744,9.0
354,HUN,Hungary,EDUADULT,BUPPSRY,PC_25_64,2016,16.637701,8.5
355,HUN,Hungary,EDUADULT,TRY,PC_25_64,2016,23.713329,8.5
356,HUN,Hungary,EDUADULT,UPPSRY,PC_25_64,2016,59.648968,8.5
357,HUN,Hungary,EDUADULT,BUPPSRY,PC_25_64,2017,15.97375,8.1
358,HUN,Hungary,EDUADULT,TRY,PC_25_64,2017,24.054041,8.1
359,HUN,Hungary,EDUADULT,UPPSRY,PC_25_64,2017,59.97220600000001,8.1
360,HUN,Hungary,EDUADULT,BUPPSRY,PC_25_64,2018,15.138174,7.9
361,HUN,Hungary,EDUADULT,TRY,PC_25_64,2018,25.101177,7.9
362,HUN,Hungary,EDUADULT,UPPSRY,PC_25_64,2018,59.760651,7.9
363,ISL,Iceland,EDUADULT,BUPPSRY,PC_25_64,2009,30.005921999999998,84.9
364,ISL,Iceland,EDUADULT,TRY,PC_25_64,2009,32.907246,84.9
