,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Country
338,ISL,EDUADULT,BUPPSRY,PC_25_64,2017,22.86241,Iceland
339,ISL,EDUADULT,BUPPSRY,PC_25_64,2018,22.127008,Iceland
340,ISL,EDUADULT,TRY,PC_25_64,2009,32.907246,Iceland
341,ISL,EDUADULT,TRY,PC_25_64,2010,32.632442,Iceland
342,ISL,EDUADULT,TRY,PC_25_64,2011,33.774651,Iceland
343,ISL,EDUADULT,TRY,PC_25_64,2012,35.01783,Iceland
344,ISL,EDUADULT,TRY,PC_25_64,2013,36.08242,Iceland
345,ISL,EDUADULT,TRY,PC_25_64,2014,37.088051,Iceland
346,ISL,EDUADULT,TRY,PC_25_64,2015,38.841152,Iceland
347,ISL,EDUADULT,TRY,PC_25_64,2016,40.475002,Iceland
348,ISL,EDUADULT,TRY,PC_25_64,2017,42.38409,Iceland
